adc6,Time_s,ch1,ch2
1216.0,7.2,0.0,0.0
1216.0,7.2,0.0,0.0
1216.0,7.2,0.0,0.0
1216.0,7.2,0.0,0.0
1216.0,7.2,0.0,0.0
1216.0,7.2,0.0,0.0
1216.0,7.2,0.0,0.0
1216.0,7.2,0.0,0.0
1216.0,7.2,0.0,0.0
1216.0,7.2,0.0,0.0
1216.0,7.201,0.0,0.0
1216.0,7.201,0.0,0.0
1216.0,7.201,0.0,0.0
1216.0,7.201,0.0,0.0
1216.0,7.201,0.0,0.0
1216.0,7.201,0.0,0.0
1216.0,7.201,0.0,0.0
1216.0,7.201,0.0,0.0
1216.0,7.201,0.0,0.0
1216.0,7.201,0.0,0.0
1216.0,7.202,0.0,0.0
1216.0,7.202,0.0,0.0
1216.0,7.202,0.0,0.0
1216.0,7.202,0.0,0.0
1216.0,7.202,0.0,0.0
1216.0,7.202,0.0,0.0
1216.0,7.202,0.0,0.0
1216.0,7.202,0.0,0.0
1216.0,7.202,0.0,0.0
1216.0,7.202,0.0,0.0
1220.0,7.203,0.0,0.0
1220.0,7.203,0.0,0.0
1220.0,7.203,0.0,0.0
1220.0,7.203,0.0,0.0
1220.0,7.203,0.0,0.0
1220.0,7.203,0.0,0.0
1220.0,7.203,0.0,0.0
1220.0,7.203,0.0,0.0
1220.0,7.203,0.0,0.0
1220.0,7.203,0.0,0.0
1222.0,7.204,0.0,0.0
1222.0,7.204,0.0,0.0
1222.0,7.204,0.0,0.0
1222.0,7.204,0.0,0.0
1222.0,7.204,0.0,0.0
1222.0,7.204,0.0,0.0
1222.0,7.204,0.0,0.0
1222.0,7.204,0.0,0.0
1222.0,7.204,0.0,0.0
1222.0,7.204,0.0,0.0
1222.0,7.204,0.0,0.0
1228.0,7.205,0.0,0.0
1228.0,7.205,0.0,0.0
1228.0,7.205,0.0,0.0
1228.0,7.205,0.0,0.0
1228.0,7.205,0.0,0.0
1228.0,7.205,0.0,0.0
1228.0,7.205,0.0,0.0
1228.0,7.205,0.0,0.0
1228.0,7.205,0.0,0.0
1223.0,7.206,0.0,0.0
1223.0,7.206,0.0,0.0
1223.0,7.206,0.0,0.0
1223.0,7.206,0.0,0.0
1223.0,7.206,0.0,0.0
1223.0,7.206,0.0,0.0
1223.0,7.206,0.0,0.0
1223.0,7.206,0.0,0.0
1223.0,7.206,0.0,0.0
1223.0,7.206,0.0,0.0
1223.0,7.206,0.0,0.0
1228.0,7.207,0.0,0.0
1228.0,7.207,0.0,0.0
1228.0,7.207,0.0,0.0
1228.0,7.207,0.0,0.0
1228.0,7.207,0.0,0.0
1228.0,7.207,0.0,0.0
1228.0,7.207,0.0,0.0
1228.0,7.207,0.0,0.0
1228.0,7.207,0.0,0.0
1224.0,7.208,0.0,0.0
1224.0,7.208,0.0,0.0
1224.0,7.208,0.0,0.0
1224.0,7.208,0.0,0.0
1224.0,7.208,0.0,0.0
1224.0,7.208,0.0,0.0
1224.0,7.208,0.0,0.0
1224.0,7.208,0.0,0.0
1224.0,7.208,0.0,0.0
1224.0,7.208,0.0,0.0
1224.0,7.208,0.0,0.0
