timestamp_us,grip_voltage,relative_time_us
102415572,2501,380121
102415942,2407,380491
102416313,2301,380862
102416685,2186,381234
102417056,2078,381605
102417427,1963,381976
102417797,1855,382346
102418168,1750,382717
102418538,1647,383087
102418913,1556,383462
102419283,1474,383832
102419654,1401,384203
102420024,1344,384573
102420395,1300,384944
102420765,1270,385314
102421136,1256,385685
102421507,1257,386056
102421882,1274,386431
102422252,1305,386801
102422622,1351,387171
102422993,1414,387542
102423364,1490,387913
102423738,1567,388287
102424109,1664,388658
102424480,1764,389029
102424850,1873,389399
102425225,1979,389774
102425596,2092,390145
102425966,2204,390515
102426337,2310,390886
102426710,2415,391259
102427081,2509,391630
102427451,2596,392000
102427821,2672,392370
102428192,2737,392741
102428563,2790,393112
102428937,2828,393486
102429307,2847,393856
102429678,2853,394227
102430053,2842,394602
102430424,2819,394973
102430794,2777,395343
102431165,2720,395714
102431535,2658,396084
102431910,2575,396459
102432280,2485,396829
102432650,2388,397199
102433021,2284,397570
102433391,2175,397940
102433761,2063,398310
102434132,1952,398681
102434502,1843,399051
102434873,1736,399422
102435248,1641,399797
102435618,1549,400167
102435989,1471,400538
102436359,1398,400908
102436736,1338,401285
102437106,1296,401655
102437477,1268,402026
102437847,1254,402396
102438218,1259,402767
102438589,1275,403138
102438959,1310,403508
102439330,1362,403879
102439705,1418,404254
102440075,1495,404624
102440446,1581,404995
102440816,1677,405365
102441187,1776,405736
102441558,1884,406107
102441933,1996,406482
102442303,2105,406852
102442673,2217,407222
102443046,2324,407595
102443417,2427,407966
102443787,2521,408336
102444158,2608,408707
102444528,2684,409077
102444903,2746,409452
102445273,2793,409822
102445644,2824,410193
102446015,2846,410564
102446385,2851,410934
102446755,2838,411304
102447128,2812,411677
102447499,2767,412048
102447869,2711,412418
102448244,2647,412793
102448615,2563,413164
102448986,2473,413535
102449356,2376,413905
102449728,2273,414277
102450099,2163,414648
102450470,2050,415019
102450840,1938,415389
102451211,1831,415760
102451581,1727,416130
102451952,1628,416501
102452323,1537,416872
102452695,1457,417244
102453066,1389,417615
102453437,1333,417986
102453807,1292,418356
102454178,1265,418727
102454548,1255,419097
102454923,1260,419472
102455293,1281,419842
102455663,1320,420212
102456038,1370,420587
102456408,1429,420957
102456779,1503,421328
102457150,1591,421699
102457520,1684,422069
102457895,1787,422444
102458265,1896,422814
102458636,2005,423185
102459007,2118,423556
102459377,2227,423926
102459747,2337,424296
102460118,2437,424667
102460489,2530,425038
102460859,2616,425408
102461234,2691,425783
102461605,2749,426154
102461975,2798,426524
102462346,2834,426895
102462719,2849,427268
102463090,2855,427639
102463460,2837,428009
102463830,2813,428379
102464201,2771,428750
102464572,2711,429121
102464942,2638,429491
102465313,2557,429862
102465685,2465,430234
102466056,2368,430605
102466427,2260,430976
102466797,2149,431346
102467168,2039,431717
102467538,1928,432087
102467913,1819,432462
102468283,1716,432832
102468654,1620,433203
102469024,1529,433573
102469395,1450,433944
102469765,1385,434314
102470136,1330,434685
102470507,1287,435056
102470882,1265,435431
102471252,1257,435801
102471622,1261,436171
102471993,1284,436542
102472364,1318,436913
102472738,1368,437287
102473109,1433,437658
102473480,1511,438029
102473850,1599,438399
102474225,1694,438774
102474596,1798,439145
102474966,1906,439515
102475337,2023,439886
102475710,2133,440259
102476081,2247,440630
102476451,2347,441000
102476821,2448,441370
102477192,2542,441741
102477563,2623,442112
102477937,2695,442486
102478307,2755,442856
102478678,2802,443227
102479053,2832,443602
102479424,2851,443973
102479794,2852,444343
102480165,2836,444714
102480535,2807,445084
102480910,2764,445459
102481280,2702,445829
102481650,2632,446199
102482021,2552,446570
102482391,2457,446940
102482761,2357,447310
102483132,2255,447681
102483502,2141,448051
102483873,2029,448422
102484248,1918,448797
102484618,1808,449167
102484989,1706,449538
102485359,1607,449908
102485736,1518,450285
102486106,1441,450655
102486477,1374,451026
102486847,1319,451396
102487218,1284,451767
102487589,1260,452138
102487959,1251,452508
102488330,1260,452879
102488705,1285,453254
102489075,1322,453624
102489446,1373,453995
102489816,1442,454365
102490187,1519,454736
102490558,1606,455107
102490933,1703,455482
102491303,1809,455852
102491673,1920,456222
102492046,2032,456595
102492417,2139,456966
102492787,2248,457336
102493158,2356,457707
102493528,2454,458077
102493903,2550,458452
102494273,2633,458822
102494644,2706,459193
102495015,2763,459564
102495385,2811,459934
102495755,2843,460304
102496128,2859,460677
102496499,2854,461048
102496869,2834,461418
102497244,2803,461793
102497615,2755,462164
102497986,2699,462535
102498356,2624,462905
102498728,2537,463277
102499099,2446,463648
102499470,2346,464019
102499840,2239,464389
102500211,2130,464760
102500581,2017,465130
102500952,1911,465501
102501323,1799,465872
102501695,1699,466244
102502066,1599,466615
102502437,1512,466986
102502807,1437,467356
102503178,1371,467727
102503548,1317,468097
102503923,1283,468472
102504293,1260,468842
