Time_s,ADC6,CH0
101.465,1244,
101.466,1239,
101.467,1240,
101.468,1233,
101.469,1218,
101.47,1216,
101.471,1200,
101.472,1193,
101.473,1192,
101.474,1196,
101.475,1193,
101.476,1207,
101.477,1209,
101.478,1223,
101.479,1228,
101.48,1236,
101.481,1233,
101.482,1235,
101.483,1240,
101.484,1240,
101.485,1235,
101.486,1236,
101.487,1231,
101.488,1223,
101.489,1215,
101.49,1208,
101.491,1193,
101.492,1192,
101.493,1184,
101.494,1183,
101.495,1192,
101.496,1193,
101.497,1199,
101.498,1208,
101.499,1216,
101.5,1228,
101.501,1231,
101.502,1238,
101.503,1235,
101.504,1244,
101.505,1237,
101.506,1238,
101.507,1227,
101.508,1220,
101.509,1214,
101.51,1199,
101.511,1189,
101.512,1183,
101.513,1178,
101.514,1176,
101.515,1183,
101.516,1184,
101.517,1192,
101.518,1204,
101.519,1212,
101.52,1215,
101.521,1227,
101.522,1225,
101.523,1233,
101.524,1233,
101.525,1240,
101.526,1239,
101.527,1232,
101.528,1222,
101.529,1216,
101.53,1212,
101.531,1207,
101.532,1193,
101.533,1195,
101.534,1186,
101.535,1192,
101.536,1192,
101.537,1199,
101.538,1208,
101.539,1216,
101.54,1224,
101.541,1232,
101.542,1239,
101.543,1240,
101.544,1247,
101.545,1239,
101.546,1239,
101.547,1233,
101.548,1231,
101.549,1223,
101.55,1217,
101.551,1207,
101.552,1203,
101.553,1201,
101.554,1199,
101.555,1200,
101.556,1204,
101.557,1212,
101.558,1223,
101.559,1225,
101.56,1232,
101.561,1244,
101.562,1247,
101.563,1251,
101.564,1251,
101.565,1255,
101.566,1248,
101.567,1247,
101.568,1231,
101.569,1224,
101.57,1215,
101.571,1201,
101.572,1196,
101.573,1194,
101.574,1191,
101.575,1192,
101.576,1196,
101.577,1200,
101.578,1206,
101.579,1212,
101.58,1216,
101.581,1219,
101.582,1224,
101.583,1232,
101.584,1231,
101.585,1227,
101.586,1227,
101.587,1224,
101.588,1223,
101.589,1216,
101.59,1203,
101.591,1195,
101.592,1184,
101.593,1183,
101.594,1183,
101.595,1192,
101.596,1200,
101.597,1204,
101.598,1214,
101.599,1216,
101.6,1220,
101.601,1224,
101.602,1228,
101.603,1232,
101.604,1239,
101.605,1240,
101.606,1239,
101.607,1235,
101.608,1238,
101.609,1223,
101.61,1216,
101.611,1207,
101.612,1208,
101.613,1200,
101.614,1200,
101.615,1204,
101.616,1209,
101.617,1211,
101.618,1223,
101.619,1223,
101.62,1227,
101.621,1231,
101.622,1239,
101.623,1240,
101.624,1239,
101.625,1249,
101.626,1248,
101.627,1243,
101.628,1239,
101.629,1226,
101.63,1220,
101.631,1213,
101.632,1199,
101.633,1199,
101.634,1199,
101.635,1199,
101.636,1201,
101.637,1208,
101.638,1216,
101.639,1224,
101.64,1232,
101.641,1236,
101.642,1235,
101.643,1235,
101.644,1239,
101.645,1240,
101.646,1240,
101.647,1235,
101.648,1234,
101.649,1231,
101.65,1216,
101.651,1208,
101.652,1206,
101.653,1199,
101.654,1195,
101.655,1206,
101.656,1205,
101.657,1216,
101.658,1223,
101.659,1231,
101.66,1235,
101.661,1239,
101.662,1240,
101.663,1240,
101.664,1241,
101.665,1247,
101.666,1247,
101.667,1244,
101.668,1238,
101.669,1227,
101.67,1219,
101.671,1214,
101.672,1201,
101.673,1199,
101.674,1200,
101.675,1200,
101.676,1203,
101.677,1215,
101.678,1223,
101.679,1227,
101.68,1234,
101.681,1243,
101.682,1243,
101.683,1248,
101.684,1247,
101.685,1248,
101.686,1241,
101.687,1240,
101.688,1235,
101.689,1224,
101.69,1215,
101.691,1203,
101.692,1200,
101.693,1196,
101.694,1200,
101.695,1200,
101.696,1208,
101.697,1215,
101.698,1223,
101.699,1228,
101.7,1232,
101.701,1240,
101.702,1242,
101.703,1248,
101.704,1245,
101.705,1247,
101.706,1240,
101.707,1243,
101.708,1231,
101.709,1232,
101.71,1223,
101.711,1215,
101.712,1202,
101.713,1200,
101.714,1200,
101.715,1203,
101.716,1212,
101.717,1215,
101.718,1223,
101.719,1231,
101.72,1234,
101.721,1240,
101.722,1236,
101.723,1240,
101.724,1243,
