timestamp_us,grip_voltage,relative_time_us
126713076,2105,397941
126713446,2099,398311
126713816,2092,398681
126714187,2085,399052
126714558,2078,399423
126714933,2069,399798
126715303,2061,400168
126715674,2054,400539
126716049,2044,400914
126716419,2037,401284
126716790,2029,401655
126717161,2020,402026
126717531,2014,402396
126717906,2007,402771
126718276,2001,403141
126718647,1995,403512
126719017,1991,403882
126719388,1987,404253
126719758,1984,404623
126720129,1982,404994
126720500,1981,405365
126720870,1981,405735
126721245,1983,406110
126721616,1984,406481
126721987,1987,406852
126722357,1991,407222
126722732,1996,407597
126723103,2001,407968
126723473,2007,408338
126723843,2014,408708
126724214,2020,409079
126724585,2028,409450
126724955,2037,409820
126725326,2045,410191
126725699,2054,410564
126726070,2062,410935
126726440,2069,411305
126726810,2078,411675
126727181,2086,412046
126727552,2092,412417
126727926,2099,412791
126728297,2105,413162
126728667,2111,413532
126729043,2115,413908
126729414,2117,414279
126729784,2121,414649
126730155,2123,415020
126730525,2122,415390
126730900,2123,415765
126731270,2122,416135
126731640,2121,416505
126732011,2118,416876
126732381,2113,417246
126732752,2109,417617
126733123,2104,417988
126733493,2098,418358
126733863,2091,418728
126734238,2084,419103
126734608,2076,419473
126734979,2068,419844
126735349,2061,420214
126735724,2052,420589
126736095,2043,420960
126736465,2035,421330
126736836,2028,421701
126737207,2020,422072
126737577,2012,422442
126737948,2006,422813
126738318,2000,423183
126738690,1995,423555
126739061,1990,423926
126739432,1986,424297
126739802,1984,424667
126740173,1980,425038
126740543,1981,425408
126740918,1981,425783
126741288,1983,426153
126741658,1985,426523
126742030,1988,426895
126742400,1991,427265
126742771,1996,427636
126743141,2002,428006
126743512,2008,428377
126743886,2014,428751
126744256,2022,429121
126744627,2030,429492
126744997,2038,429862
126745368,2045,430233
126745742,2054,430607
126746112,2062,430977
126746483,2071,431348
126746853,2079,431718
126747224,2086,432089
126747594,2095,432459
126747965,2100,432830
126748336,2107,433201
126748709,2111,433574
126749079,2116,433944
126749450,2120,434315
126749820,2122,434685
126750191,2124,435056
126750561,2124,435426
126750936,2124,435801
126751307,2123,436172
126751677,2121,436542
126752050,2117,436915
126752421,2113,437286
126752791,2109,437656
126753162,2104,438027
126753533,2097,438398
126753908,2091,438773
126754278,2082,439143
126754649,2075,439514
126755020,2067,439885
126755390,2059,440255
126755761,2051,440626
126756135,2043,441000
126756505,2035,441370
126756876,2027,441741
126757251,2022,442116
126757622,2011,442487
126757992,2006,442857
126758363,2000,443228
126758736,1994,443601
126759107,1990,443972
126759477,1986,444342
126759848,1984,444713
126760219,1980,445084
126760589,1981,445454
126760960,1982,445825
126761330,1982,446195
126761705,1984,446570
126762076,1988,446941
126762446,1992,447311
126762816,1997,447681
126763187,2003,448052
126763558,2009,448423
126763933,2015,448798
126764303,2023,449168
126764674,2030,449539
126765049,2038,449914
126765419,2048,450284
126765790,2055,450655
126766161,2064,451026
126766531,2073,451396
126766906,2079,451771
126767276,2088,452141
126767647,2095,452512
126768017,2101,452882
126768388,2107,453253
126768758,2112,453623
126769129,2116,453994
126769500,2119,454365
126769870,2123,454735
126770245,2123,455110
126770616,2124,455481
126770987,2124,455852
126771357,2123,456222
126771732,2122,456597
126772103,2118,456968
126772473,2112,457338
126772843,2108,457708
126773214,2103,458079
126773585,2096,458450
126773955,2090,458820
126774326,2082,459191
126774699,2074,459564
126775070,2067,459935
126775440,2058,460305
126775810,2050,460675
126776181,2041,461046
126776552,2033,461417
126776926,2025,461791
126777297,2019,462162
126777667,2010,462532
126778043,2004,462908
126778414,1997,463279
126778784,1994,463649
126779155,1989,464020
126779525,1984,464390
126779900,1983,464765
126780270,1981,465135
126780640,1981,465505
126781011,1981,465876
126781381,1983,466246
126781752,1984,466617
126782123,1988,466988
126782493,1992,467358
126782863,1998,467728
126783238,2003,468103
126783608,2009,468473
126783979,2016,468844
126784349,2024,469214
126784724,2032,469589
126785095,2040,469960
126785465,2048,470330
126785836,2057,470701
126786207,2066,471072
126786577,2073,471442
126786948,2081,471813
126787318,2088,472183
126787690,2095,472555
126788061,2102,472926
126788432,2107,473297
126788802,2112,473667
126789173,2116,474038
126789543,2119,474408
126789918,2122,474783
126790288,2124,475153
126790658,2124,475523
126791030,2123,475895
126791400,2123,476265
126791771,2120,476636
126792141,2117,477006
126792512,2113,477377
126792886,2106,477751
126793256,2102,478121
126793627,2095,478492
126793997,2088,478862
126794368,2081,479233
126794742,2073,479607
126795112,2066,479977
126795483,2057,480348
126795853,2050,480718
126796224,2040,481089
126796594,2033,481459
126796965,2024,481830
126797336,2017,482201
126797709,2011,482574
126798079,2003,482944
126798450,1998,483315
126798820,1993,483685
126799191,1989,484056
126799561,1985,484426
126799936,1982,484801
126800307,1981,485172
126800677,1982,485542
126801050,1982,485915
126801421,1983,486286
126801791,1985,486656
126802162,1989,487027
126802533,1993,487398
126802908,1997,487773
126803278,2004,488143
126803649,2010,488514
126804020,2017,488885
126804390,2025,489255
126804761,2032,489626
126805135,2040,490000
126805505,2049,490370
126805876,2057,490741
126806251,2066,491116
126806622,2074,491487
126806992,2082,491857
126807363,2090,492228
126807736,2096,492601
126808107,2103,492972
126808477,2108,493342
126808848,2113,493713
126809219,2117,494084
126809589,2120,494454
126809960,2122,494825
126810330,2124,495195
126810705,2124,495570
126811076,2124,495941
126811446,2122,496311
126811816,2120,496681
126812187,2117,497052
126812558,2112,497423
126812933,2107,497798
126813303,2100,498168
126813674,2094,498539
126814049,2088,498914
126814419,2081,499284
126814790,2073,499655
126815161,2064,500026
126815531,2057,500396
126815906,2048,500771
126816276,2040,501141
126816647,2031,501512
126817017,2024,501882
126817388,2016,502253
126817758,2010,502623
126818129,2003,502994
126818500,1998,503365
126818870,1992,503735
126819245,1988,504110
126819616,1985,504481
