time_s,ch0
0.961,0.6180339887498488
0.962,1.175570504584887
0.963,1.618033988749904
0.964,1.9021130325903042
0.965,2.0
0.966,1.9021130325903255
0.967,1.6180339887498774
0.968,1.1755705045849425
0.969,0.618033988749914
0.97,4.5074429976261656e-14
0.971,-0.6180339887499364
0.972,-1.1755705045849616
0.973,-1.6180339887498913
0.974,-1.9021130325902975
0.975,-2.0
0.976,-1.902113032590297
0.977,-1.61803398874989
0.978,-1.1755705045849598
0.979,-0.6180339887499345
0.98,4.70511963127219e-14
0.981,0.6180339887499159
0.982,1.175570504584944
0.983,1.6180339887498787
0.984,1.9021130325902909
0.985,2.0
0.986,1.9021130325903037
0.987,1.618033988749903
0.988,1.1755705045849774
0.989,0.6180339887498469
0.99,-2.548998488008942e-14
0.991,-0.6180339887498955
0.992,-1.1755705045849265
0.993,-1.618033988749866
0.994,-1.9021130325903193
0.995,-2.0
0.996,-1.9021130325903104
0.997,-1.6180339887499156
0.998,-1.1755705045849028
0.999,-0.6180339887498675
1.0,3.928773447456944e-15
